"sim_calib_id","b1_calib_id","b2_calib_id","m1_calib_id","m2_calib_id","m3_calib_id","m4_calib_id"
1,6,6,"1-L","2-L","3-L","4-L"
2,6,6,"1-L","2-L","3-L","4-M"
3,6,6,"1-L","2-L","3-L","4-H"
4,6,6,"1-L","2-L","3-M","4-L"
5,6,6,"1-L","2-L","3-M","4-M"
6,6,6,"1-L","2-L","3-M","4-H"
7,6,6,"1-L","2-L","3-H","4-L"
8,6,6,"1-L","2-L","3-H","4-M"
9,6,6,"1-L","2-L","3-H","4-H"
10,6,6,"1-L","2-M","3-L","4-L"
11,6,6,"1-L","2-M","3-L","4-M"
12,6,6,"1-L","2-M","3-L","4-H"
13,6,6,"1-L","2-M","3-M","4-L"
14,6,6,"1-L","2-M","3-M","4-M"
15,6,6,"1-L","2-M","3-M","4-H"
16,6,6,"1-L","2-M","3-H","4-L"
17,6,6,"1-L","2-M","3-H","4-M"
18,6,6,"1-L","2-M","3-H","4-H"
19,6,6,"1-L","2-H","3-L","4-L"
20,6,6,"1-L","2-H","3-L","4-M"
21,6,6,"1-L","2-H","3-L","4-H"
22,6,6,"1-L","2-H","3-M","4-L"
23,6,6,"1-L","2-H","3-M","4-M"
24,6,6,"1-L","2-H","3-M","4-H"
25,6,6,"1-L","2-H","3-H","4-L"
26,6,6,"1-L","2-H","3-H","4-M"
27,6,6,"1-L","2-H","3-H","4-H"
28,6,6,"1-M","2-L","3-L","4-L"
29,6,6,"1-M","2-L","3-L","4-M"
30,6,6,"1-M","2-L","3-L","4-H"
31,6,6,"1-M","2-L","3-M","4-L"
32,6,6,"1-M","2-L","3-M","4-M"
33,6,6,"1-M","2-L","3-M","4-H"
34,6,6,"1-M","2-L","3-H","4-L"
35,6,6,"1-M","2-L","3-H","4-M"
36,6,6,"1-M","2-L","3-H","4-H"
37,6,6,"1-M","2-M","3-L","4-L"
38,6,6,"1-M","2-M","3-L","4-M"
39,6,6,"1-M","2-M","3-L","4-H"
40,6,6,"1-M","2-M","3-M","4-L"
41,6,6,"1-M","2-M","3-M","4-M"
42,6,6,"1-M","2-M","3-M","4-H"
43,6,6,"1-M","2-M","3-H","4-L"
44,6,6,"1-M","2-M","3-H","4-M"
45,6,6,"1-M","2-M","3-H","4-H"
46,6,6,"1-M","2-H","3-L","4-L"
47,6,6,"1-M","2-H","3-L","4-M"
48,6,6,"1-M","2-H","3-L","4-H"
49,6,6,"1-M","2-H","3-M","4-L"
50,6,6,"1-M","2-H","3-M","4-M"
51,6,6,"1-M","2-H","3-M","4-H"
52,6,6,"1-M","2-H","3-H","4-L"
53,6,6,"1-M","2-H","3-H","4-M"
54,6,6,"1-M","2-H","3-H","4-H"
55,6,6,"1-H","2-L","3-L","4-L"
56,6,6,"1-H","2-L","3-L","4-M"
57,6,6,"1-H","2-L","3-L","4-H"
58,6,6,"1-H","2-L","3-M","4-L"
59,6,6,"1-H","2-L","3-M","4-M"
60,6,6,"1-H","2-L","3-M","4-H"
61,6,6,"1-H","2-L","3-H","4-L"
62,6,6,"1-H","2-L","3-H","4-M"
63,6,6,"1-H","2-L","3-H","4-H"
64,6,6,"1-H","2-M","3-L","4-L"
65,6,6,"1-H","2-M","3-L","4-M"
66,6,6,"1-H","2-M","3-L","4-H"
67,6,6,"1-H","2-M","3-M","4-L"
